CustomerID,LookalikeCustomers
C0001,"C0137 (similarity: 1.000), C0152 (similarity: 1.000), C0107 (similarity: 0.989)"
C0002,"C0142 (similarity: 0.992), C0177 (similarity: 0.974), C0043 (similarity: 0.970)"
C0003,"C0133 (similarity: 0.997), C0052 (similarity: 0.995), C0192 (similarity: 0.968)"
C0004,"C0113 (similarity: 0.990), C0102 (similarity: 0.987), C0108 (similarity: 0.984)"
C0005,"C0159 (similarity: 1.000), C0186 (similarity: 0.997), C0123 (similarity: 0.984)"
C0006,"C0158 (similarity: 0.972), C0168 (similarity: 0.954), C0187 (similarity: 0.909)"
C0007,"C0159 (similarity: 0.986), C0005 (similarity: 0.984), C0115 (similarity: 0.978)"
C0008,"C0109 (similarity: 0.981), C0139 (similarity: 0.971), C0098 (similarity: 0.939)"
C0009,"C0062 (similarity: 0.986), C0198 (similarity: 0.982), C0121 (similarity: 0.975)"
C0010,"C0199 (similarity: 0.997), C0121 (similarity: 0.985), C0166 (similarity: 0.974)"
C0011,"C0107 (similarity: 0.998), C0048 (similarity: 0.998), C0152 (similarity: 0.983)"
C0012,"C0155 (similarity: 0.999), C0108 (similarity: 0.994), C0013 (similarity: 0.984)"
C0013,"C0087 (similarity: 0.994), C0155 (similarity: 0.990), C0099 (similarity: 0.990)"
C0014,"C0060 (similarity: 0.999), C0198 (similarity: 0.995), C0063 (similarity: 0.990)"
C0015,"C0144 (similarity: 1.000), C0058 (similarity: 0.994), C0020 (similarity: 0.993)"
C0016,"C0183 (similarity: 1.000), C0018 (similarity: 0.919), C0117 (similarity: 0.915)"
C0017,"C0075 (similarity: 0.980), C0124 (similarity: 0.979), C0051 (similarity: 0.928)"
C0018,"C0016 (similarity: 0.919), C0183 (similarity: 0.914), C0079 (similarity: 0.901)"
C0019,"C0172 (similarity: 1.000), C0111 (similarity: 0.934), C0103 (similarity: 0.931)"
C0020,"C0058 (similarity: 0.996), C0144 (similarity: 0.994), C0015 (similarity: 0.993)"
